Username,Rating,Date and Time,Comment,Sentiment
r*****k,5,2024-03-21 22:58,"Product Qualitygoods
Best Featuresmooth
Performancevery smooth

Thank you sa shop na to ganda ng phone gaya ng inaasahan di responsive si seller sa chats pero maganda yung phone at mabilis rin ma deliber thank you rin sa rider",2
mrbatesjr,5,2024-03-20 12:31,"Performancegreat
Best Featurespecs
Product Qualityexcellent",2
whengkyla,5,2024-07-16 21:37,Tuwang tuwa ang anak ko dahil Excellently working po ang cellphone sa tamang halag Kudos sa seller naway dumamino lalo ang sales ninyo Salamat ,2
wendellejamesadecerleal,5,2024-07-31 09:01,Ganda ,2
tutay490,5,2024-09-14 11:22,Maganda legit po 1 million star,2
cbbaldos,5,2024-06-24 15:10,Goods,2
jomonlineshops,5,2024-07-21 05:18,Best Featureok na ok,2
rose_tamayo22,4,2024-07-26 14:40,"Best FeatureN
PerformanceI
Product QualityCE",2
g*****6,4,2024-11-11 12:47,The product is legibly in perfect condition,2
ceebeearjeyar,5,2024-12-03 10:56,LEGIT PHONE THANKS,2
chichaycheech,5,2024-09-02 04:57,Legit mamisaur,2
5upsq2nfnh,5,2024-03-22 01:03,is there 1yr warranty,0
bygdyk,5,2024-11-07 11:13,Sobrang sulit dahil sa voucher sale,2
myvescombalicercalzado,5,2024-07-06 07:37,Ayos solid sana di mag lag kinatagalan,2
knotyourordinaryflowershop,5,2024-12-05 17:20,thebest,2
arieslynlorenzocabrigas,5,2024-10-14 07:04,Legit 1000 percent,2
ndaylyn,5,2024-09-12 09:33,Thank u sa freebie,2
acpalrolandkim,5,2024-11-06 02:13,Legit Sha,2
onicdavid,5,2024-09-11 17:23,Solid,2
graxie00,5,2024-05-25 09:45,Okay naman sana tumagal,2
g*****s,5,2024-08-04 01:43,Thank you seller,2
codemancollin25,5,2024-07-27 20:46,j,2
chardmhynn,5,2024-07-13 00:44,Thank you seller,2
maqquiambao,5,2024-07-12 11:44,Legit,2
erwin8512,5,2024-07-18 10:47,Legit ,2
nikkolo11,5,2024-07-01 08:50,Legit guys,2
l8nytalumni,5,2024-06-24 15:49,Perfect Thanks,2
qnvbew0qrk,5,2024-06-26 12:27,Nice one,2
aldren_nhur,5,2024-05-12 03:17,Verygood,2
cynpen,5,2024-04-23 00:20,great,2
darwindecilos15,1,2024-09-08 06:27,Wala pang 1month nag blink na agad Yung LCD,0
rennmartcornetis,1,2024-08-02 09:15,Okey Naman hindi halata fake,2
chinnycabuhay,5,2024-06-16 08:09,Legit tysm seller,2
albznikz,5,2024-04-05 11:44,Legit,2
mlk.society,5,2024-04-16 07:52,shipped immediately with freebies thanks,2
