Username,Rating,Date and Time,Comment
makelmendoza14,5,2022-11-16 08:57,"Appearance:very good
Quality:very good
Suitability:very good

Na received ko na item. Gawan ko ng content ito sa Youtube channel ko, Kuya Makel"
mangaoangelie,5,2023-05-23 10:11,"Suitability:perfectly fine
Appearance:nice packaging
Quality:good item

It's definitely brighter than my old bulbs shown in the third photo. Hoping it would last long"
grailstone,5,2022-12-25 22:10,Legit item. Light is bright. Hope that it will last long.
jerome_sl,5,2024-09-09 22:50,"Quality:Good
Appearance:Nice
Suitability:Plug & play

Securely Packaged. Fast delivery.

Trusted shop. Thank you !"
rien888,5,2022-11-18 03:40,"Quality:10/10 with warranty
Suitability:10/10
Appearance:10/10

Super dark tint ko pero Ang liwanag sa gabi at Ang wide Ng buga nya kita ko na Daan without high beam"
jardia,5,2023-09-22 04:44,All item is working and the seller will update you step by step of shipping process thank you shopee and seller
jennifermoisescapangpangan,5,2023-01-14 02:57,"Appearance:Good
Quality:Good
Suitability:Fit

It was a functional one. Packaging is good as well as delivery. My husband attached it already and it lights."
ronaldfronda17,5,2023-08-26 10:28,"Appearance:very good
Quality:very good
Suitability:easy to install

We’ll order another items from this seller probably. Highly recommended. Fast delivery."
d*****y,4,2022-08-24 11:50,"yung H11 akala ko yellow, diko rin na check nung mag order ako.. parehas white ang headlight at foglight ko tuloy.. anyway, very good nman.. na test kona knin.. so far wala nmn prob.. maayos pa ang packaging.. 2 thumbs up seller at yung rider, sinabihan dn nyako na video before at while opening pack"
j*****n,5,2024-01-27 08:54,"Suitability:10/10
Quality:10/10
Appearance:10/10

Sobrang ganda at mukhang quality naman. Kahapon ko inorder na deliver na agad ngayon. parang 24hrs lang ganon kabilis ang delivery. Medyo nakaka inis lang mag message sa seller kase auto generated lang lage nagrereply. ganon pa man salamat pa rin sa smooth at mabilis na transaction. recommended shop."
edsalting,5,2022-10-19 05:43,"Quality:Very Good
Suitability:Suitable
Appearance:Very Good

Have fitted and tested bit still to check during the night. Will update later.
As update, the lights were stable tho, white color is good in places where roads are totally dark. Umber lights still the best in city streets. 
 Thanks to ALL, SELLER, COURIER, MR. RIDER AND SHOPEE."
nenengc12,5,2023-11-28 01:38,The seller is good in responding for the after sales. Thank you seller! Sana ibigay mo talaga ung voucher para mkabili ng bago. Would recommend this shop!!! Nu mamati kayu. Kasi dadael met ti inted mu ket bagam agited kami ti lima nga bitwen tapnu ikkan na kami ti kasukat na diay dadael nga inted mu. Isu nga sikayu nga gumatang basain nyo nagidiay sabali nga comments.
j*****t,5,2023-09-14 02:47,"Good Quality product seller is also responsive to the concerns 
Highly Recommended"
daddydadoo,5,2023-10-01 00:32,"Quality:excellent
Suitability:for H4 Headlight Vehicles
Appearance:excellent"
w*****r,5,2024-01-04 09:41,"Suitability:Fit
Quality:VG
Appearance:Nice

The item was well packed and delivered in the expected timeline,,, maganda yung item and both functioning high and low beam. Thanks to the seller Legitimate."
glenpabonfortaleza,5,2022-11-14 11:14,"Appearance:good
Quality:good
Suitability:good

maganda ang pagkakabalot at hnd sira ang box nya kaya lng hnd q p natesting sana lng gumana salamat seller"
councilorianabas,5,2023-07-05 08:39,"Appearance:nice appetance
Suitability:very good
Quality:not yet installed hope its okey"
k*****_,5,2024-09-22 14:43,"Appearance:nice
Quality:nice
Suitability:nice

the only way i could ever be able is to get my own car to work for a month or so before the pandemic hit so that my"
s*****e,5,2022-07-29 05:07,Legit novsight product affordable price thankyou very much seller fast deliver makakausap mo pa seller to give you discount
vhins13,5,2023-04-21 00:18,"Suitability:good
Quality:good
Appearance:ok

Ok na ok, malakas"
patriciamaearipal942,5,2023-05-04 11:46,"Appearance:good packaging no damage at naka sealed
Suitability:plug and play
Quality:100%

Grabe yung quality ng ilaw napaka lakas para kang naka mini driving light. Bili na kayo. 👌🏻🫶🏻🫰🏻"
k*****6,5,2024-10-06 00:39,"Suitability:Correct
Appearance:Nice
Quality:Nice

Well packed and recieved with no damages. Will update once installed"
vallejomotoaccesorires,5,2023-07-09 07:38,"Suitability:good
Appearance:good
Quality:good

Maganda pagkakabalot.
No damage.👍
Thank you seller"
khalidstore95,5,2024-04-05 08:50,"Quality:10/10
Suitability:10/10
Appearance:10/10

Highly recommended product thank you seller and shopee, mabilis po delivery 6days dumating na dito sa mindanao"
l*****o,5,2022-12-11 16:25,"Appearance:Perfect
Quality:Best
Suitability:Great

Thank you so much for keeping my item safe and secured. Quality is very good. Perfect for my car. Thank you so much, ❤️❤️❤️"
yanaliam,5,2023-09-02 07:34,"Quality:super legit yong item salamat seller at salamat shoppee

at shout out sa SPX express sobrang bagal mag dilever"
c*****e,5,2023-06-09 05:48,"Appearance:Good.
Suitability:Good.
Quality:Good.

Item received without damage. Thank you! Will order again if needed."
8qt5pkgi51,5,2024-10-21 11:48,"Quality:ayos maliwanag na ilaw ko ..sana lang mag tagal...
Appearance:very good
Suitability:very good"
bunngepitulan096,5,2024-09-10 03:59,"Appearance:100
Suitability:hndi pa na try
Quality:100

Thank you seller 🤙🏻✨"
j*****e,5,2024-10-29 06:32,"Suitability:5/5
Appearance:5/5
Quality:5/5

Nice and bright white. Thank you seller"
m*****7,5,2024-04-28 04:22,"Suitability:good
Appearance:maganda
Quality:mukang matibay sana magtagal

Ang bilis dumating ng item mabait Ang seller Saka Yung rider na nag deliver. Salamat po .."
winchgaming,5,2024-10-20 02:08,"Quality:Such a good product for its price

BTW the second image is only low beam pa."
novemrey,5,2023-07-06 10:43,"Quality:Goods yung quality
Appearance:Goods rin appearance
Suitability:Hopefully tatagal.

Novsight led headlight. save energy, more power fir your car."
lagosmarlon,4,2023-11-12 07:37,"Appearance:Good
Quality:Good

Maganda pero di kupa na try i kabit sa sasakyan ko , pero ok naman sya sana di pundi gaya ng iba."
alfredbrospeedmartinez,5,2023-02-08 01:55,"Quality:Good Quality
Suitability:5 star

Nice led lights maliwanag sa gabi,"
ainjho,5,2023-07-29 04:51,"The item is very good it has a nice appearance, solid quality and ok suitability. I hope all sellers are like you and disappoint a buyer so keep it up always may god bless you. Maraming Salamat Shopee!"
j__iivzy7x,5,2022-05-18 08:53,"Bagong produkto, gumagana nang mahusay, ang liwanag na output ay malakas, gusto ko ito, salamat"
tocs46,5,2024-10-23 12:57,The bulbs function well and I hope they will last longer. The seller is responsive and transparent and for sure we'll order again. Thank you and God bless.
argeraldo97,5,2022-11-16 13:26,"Suitability:very goo
Appearance:Very good
Quality:very good

good packaging and quick shipout by seller. item works perfectly. thank you!"
oi1vz87ahzmadblc9hdtl4l2tid4,5,2023-07-18 06:32,"Suitability:very good kaayo Ang items order Ako unit
Appearance:very good
Quality:very good"
rjaesymyx3,5,2024-04-04 12:23,"Suitability:perfect
Appearance:excellent
Quality:good and fair

fits my toyota altis 2002 model and its easy to install no need pay for someone to install it. maliwanag sya same ng nka hi beam na halogen ko. kaso need ko bumili pa ng pang hi beam para mas malinaw. ang nkakadismaya lng ay hindi nka bubble wrap. ung mga courier pa nmn binabalibag lng mga parcel. buti nlang di nadamage ung item and working sya."
phoenixgirl11,5,2023-11-18 11:03,"Suitability:good
Quality:good
Appearance:good

fast delivery.. mabait and responsive si seller.. happy with my order.. will order again.. thanks seller!"
amhielovesadhie_15,5,2023-01-18 04:14,"Appearance:well packaging
Quality:nice quality
Suitability:fits to my Honda Civic Fc 1.8

Nice packaging since the item need to be secure. already try the item and it perfectly fits on my unit. When it comes to delivery time , its earlier as the tentative delivery date. We’re surely order again… Thanks to seller👌"
j*****d,5,2023-10-08 03:05,"Appearance:Good
Quality:Good

Okey naman na try na namin, gumana both! thanks seller! God blessed!💕"
jln0501,5,2022-09-19 09:09,The product looks good. It perfectly fits on my cx-7. Hope it will last long😊
c*****8,5,2024-08-18 13:08,"Quality:10/10
Suitability:10/10
Appearance:10/10

Nice product, high quality it fit to the car highly recommended will order again soon P.S. Photo is not related , thank you shopee"
j*****7,5,2024-10-12 12:19,"Appearance:good
Suitability:good
Quality:good

Working and good packaging."
chisa27,3,2023-06-25 09:14,"Quality:great quality
Appearance:great
Suitability:great

At first ung isang set lng ng h4 ang ndeliver pero nacontact din at napahabol din nman ng seller ung kulang na set ng h11..."
jeffreyyopipsmercado,5,2024-01-06 06:10,"Quality:very good
Suitability:very good
Appearance:very good

thanks seller sa maayus na pack at safe nmn yung item"
r*****a,5,2024-08-05 14:01,"Suitability:good
Quality:good
Appearance:good

Arrive within ETA/received in good condition/good packaging/will order again/happy selling/thank you so much😊goods"
rovenabagat,5,2023-04-05 12:45,"Appearance:10
Quality:10
Suitability:10

Thank youuuuu"
angelobasco099,5,2023-07-11 14:52,"Appearance:goods
Suitability:maganda xa
Quality:mukhang matibay naman

Ang bilis ng pagkashipped ng seller in two days nasa baguio na ung jnt courier na assign ang nagpatagal pinaabit ng 4days inbes nung dumating ei deniliver agad ei hindi ta pinatulog ng 2days sa hub pero kay seller maraming salamat dq pa nakabit kasi hapon na deniliver bukas q pa malalaman kung all goods ba"
jhenem28,5,2023-08-06 07:11,Good quality ang sinaw nya sa dilim... salamat worth it ang price nya... pro sana mag tagal
kingkimwel,4,2023-02-16 22:53,"Appearance:good
Quality:good
Suitability:good

Hindi ko pa nakabit pero parang maganda yong quality"
,5,2022-05-21 08:57,The item was so good condition & the packaging bubble wrap it properly. Thank you seller 👌
mariatheresa553,5,2024-04-09 01:33,"Quality:supergood
Suitability:super brightness
Appearance:with warranty sticker

Recommended this item, so good and quality product..."
e*****4,5,2024-07-22 07:21,"Suitability:fit
Quality:10/10
Appearance:very nice"
hayuban83,5,2023-11-15 10:22,"Quality:good
Suitability:good
Appearance:nice

Legit item. Thank you seller😉"
davebinayaolavictoria,5,2024-09-30 13:02,"Quality:ok Ang item
Suitability:fits sa Navara D40 ko
Appearance:nice design

Ok Ang item..dati ginagamit ko fog lamp if gni aNg byahe ko , especially pag maylan..pero nga malinawag na ..ok talaga Ang original Novsight headlight ledlamp.,"
jshanrhey,5,2023-09-15 05:01,"Suitability:10/10
Quality:10/10
Appearance:10/10

Maganda po. Salamat seller"
raztahman,5,2024-08-18 15:10,"Quality:Good
Appearance:Good
Suitability:Great!

Ordered and arrived faster than expected. Replaced stock bulbs and definitely had a significant upgrade."
mark.martin12,5,2023-10-17 10:12,"Suitability:saktong sakto H11 for Innova 2.8 next Yung park light Naman
Quality:I will order again
Appearance:what you see is what you get

Apakaganda apakaliwanag na ni innoyasha snowball ko 😁😁😁"
stevenmendozaiii,5,2023-12-19 10:17,"Suitability:10/10
Quality:10/10
Appearance:10/10

Sobrang Ganda at napaka Dali ikabit. Solid ang ilaw kahit Malabo lens napakalinaw parin. Diko Lang na picturan pero sobrang ganda. Yan Lang pic ko salamat seller"
g*****a,5,2023-10-20 09:42,"Appearance:ganda!
Suitability:maayos at madali ikabit
Quality:asteeg

Ganda ng items! Panalo! Sana magtagal sya. Salamat seller!"
keroooooooooo,5,2024-07-19 04:36,"Suitability:10/10
Quality:10/10
Appearance:10/10

Tried and tested. Everything works well. Hopefully it lasts for a long time. I highly recommend this shop"
cumaling24,5,2023-12-01 06:24,"Suitability:10/10
Appearance:10/10
Quality:10/10

Woww ka nice sa item sana gumana Salamat seller 👍👍 Salamat shoppee 👍👍👍"
johnmelvinjate,5,2024-07-07 05:31,"Suitability:good suitability
Quality:good quality
Appearance:good appearance

thank you seller napaka ganda yong item nagustohan kopo subra 😍😍😍😍"
ikuzobearchan,4,2023-11-30 11:58,"Appearance:10/10
Suitability:9/10
Quality:9/10

very nice lakas ng ilaw sa r3 ko hehehe.."
bhossmacky28,5,2024-02-07 01:10,"Quality:legit nmn
Appearance:very good
Suitability:d ko pa na try

Maganda ang item at mukhang legit nmn. Kinabahan lang ako kasi walang buble wrap. Mabuti nlng walang tupi yung karton  at walang damage ang Bulb. 5 star parin. Pero sana kahit kunting buble wrap manlang. May fog lamp pa nmn akong order. Sana same parin walang damage ang box."
petercarlos,5,2024-04-20 13:26,"Quality:goods
Appearance:goods

thank u legit seller sorry late rating hinintay ko muna ma install goods na goods ung mga headlight."
allancerdina,5,2023-12-19 15:59,"Suitability:10
Appearance:10
Quality:100℅

Trusted kuna ang Novsigth. Malakas tlga at napakaliwanag. Ang pinag kaiba lng nito bago ko order. Wala sya balas pero goods na goods padin. Salamuch seller. Keep it up"
dionesiojasmin,5,2024-01-29 06:43,"Appearance:good
Quality:pending
Suitability:pending

Seen good quality.. but have not tried yet."
j*****8,5,2023-11-19 11:31,"Appearance:bnew
Suitability:Suits perfectly
Quality:Superb

Seller is very responsive to my inquiries. Complete items fast delievered with tender, love and care. Brandnew product."
macmac1982,5,2023-06-19 12:46,"Quality:good
Suitability:fit sya
Appearance:maganda

Maliwanag"
siremonsen909,5,2023-06-28 23:16,"Appearance:good
Suitability:good
Quality:super

Ang Ganda po Ng led nyo good quality order ako nito ulit sa falight ko Naman ang sunod Kong ordering.thank you seeler"
ailpxnvl_a,5,2023-12-04 17:14,"Suitability:nice
Quality:quality kung sa quality
Appearance:Ayos!"
w9urgvkf3w,5,2024-03-09 08:48,"Appearance:good
Suitability:good
Quality:good

100% super bright maliwanag talaga legit store orig ang item tell nex purchase ❤️❤️❤️❤️❤️"
a1cbm3dho1,5,2022-12-17 21:14,"Appearance:Good
Quality:Good
Suitability:Good

Till next transaction"
geraldmilar,4,2023-08-17 12:40,"Quality:good
Appearance:good
Suitability:good

Legit item and seller"
kennedyabiada,4,2023-07-17 18:57,"Quality:good
Suitability:good
Appearance:good

Brighter than stock bulb. But not super as in bright. 😔 thank you anyway"
at5abpx_rq,5,2023-12-23 10:04,"Appearance:nice nd clear light
Quality:good quality

Xnxa na late upload maganda sya tingin ko matibay nmn salamat po seller.."
johnrelbulado077,5,2023-02-22 16:15,"Quality:verry good
Suitability:good na good
Appearance:good

The LED bulb is super bright maliwanag pa sa sikat nang araw satisfied po ako, thanks to the responseble seller 👍👍👍"
fsymfg4xw1,5,2023-12-17 03:53,"Quality:Great
Appearance:Great
Suitability:Great

It's a great product, I recommend this one if you are looking for brighter head light na pasok sa budget, even na naka dark tint ako mas maliwanag ko nakikita labas compare sa halogen, thumbs up ako dito and ang bilis din dumating. kaya nung nakita ng sister ko nag order na din sya para sa auto nya hehe. thanks sa seller and dun din sa rider"
thumpsmontera,5,2024-07-01 09:35,"Quality:VeryGood
Suitability:VeryGood
Appearance:VeryGood

NapakaSulit po talaga all working po 👍 salamat po seller 👌🙌"
m*****9,5,2023-01-04 08:38,"Fast and smooth transaction
Wellpacked and no damage
Quality is worth the price
Highly Recommended shop here"
iamchristianjay014,5,2023-06-26 05:06,"Appearance:excellet
Suitability:bright
Quality:goods

Goods try ko maya gabi ung liwanag nya"
tonyotonyo123,5,2023-04-10 06:18,"Appearance:good

Satisfied customer 😊 seller is also very accommodating"
chriztnicolasdelrosario,5,2023-11-09 00:57,"Appearance:good
Suitability:good
Quality:good

Mabilis dumating at working xa responsible c seller s update tpos mabait din un raider 
Salamat po"
_7ig6e21oy,5,2024-02-28 05:45,"Suitability:very good
Quality:Very good
Appearance:very good

101% legit seller 
what you is what you get!"
pot2617,5,2024-03-18 08:54,"Quality:good
Suitability:not yet installed
Appearance:good

Receive my order here..h11 n hb3 for my led headlight..not yet installed..tnx seller n shoppe n boss rider.."
g*****_,5,2024-08-04 04:14,"Appearance:excellent
Suitability:excellent
Quality:excellent

Napakabilis dumating. . Dq pa naiinstall pero sana gumagana sana matibay . Maraming salamat seller salamat din shopee . ⭐️⭐️⭐️⭐️⭐️"
ratzkiemapzkieowel,5,2023-06-05 13:44,"Appearance:good
Suitability:good
Quality:good

First order ko sa seller na ito. Maganda ung items. Satisfied po aku. Order na kau dito mga lodi."
praxybaldoza,5,2023-06-18 07:51,Ayos pagka package. Di ko pa naikabit. Sana malakas yung ilaw
elchief1,5,2023-05-20 09:28,"Suitability:very good
Quality:very good
Appearance:very 👍

Good job. I have installed it in my Toyota Corolla XL 2E and found perfectly fit . H4.
I will surely order again for my Ford everest.
Highly recommended. I will test at night. But already can see the difference."
puorpogi,5,2024-03-02 12:01,"Quality:good
Suitability:good
Appearance:good

Thank you seller"
t*****y,5,2024-02-11 03:23,"Suitability:Good
Appearance:Good
Quality:Good

Maraming salamat po... Sana tumagal..."
j*****3,5,2023-05-20 10:02,"Maliwanag yung LED headlights. Color white. Box completely sealed, brabd new talaga. Item shipped immediately. Will order again."
darylgdongallo,5,2024-05-24 06:25,"Quality:10
Appearance:10
Suitability:10

Perfect fit for may toyota rush G 2019 fog lamp.. thank you seller"
j*****8,5,2023-09-24 07:05,"Quality:10
Suitability:10
Appearance:10

Hope the product is working after it be install. fast delivery. Thankyou👍"
p7a35dzhjz,5,2023-03-24 15:37,"Suitability:Saktong sakto
Quality:Very nice
Appearance:Maliwanag na maliwanag. Satisfied ako"
ekmajoi5jy,5,2024-08-16 13:18,"Suitability:10/10
Appearance:10/10
Quality:10/10

Super legit!!"
r6yf3e8d9w,5,2022-12-14 07:56,Kkdeliver lang knina ni kuya pinalagay n ng mister ko ok sila maliwanag nmn po sila.Tnx seller mabilis n delivery.
2*****y,5,2024-07-05 02:24,"Appearance:10
Quality:10
Suitability:10

Maayos po ang item and good quality. Naipadala agad and gumana pagka-install. Maraming salamat seller and kuya rider."
nioernestzamora,5,2023-09-24 13:17,Appearance:saktong sakto sa mb100 maganda sya malakas solid Neto good 👍👍
m*****i,5,2024-01-07 09:03,The package came by so fast kahit holiday season mabilis talaga kapag j&t nagdedeliver. Thanks seller legit product and mas mura talaga here
t*****3,5,2023-10-06 12:30,Works fine with my suzuki swift 2015. I hope it last. Bilis din ng shipping as per endorse dumating agad in 3 days :)
l*****a,5,2023-11-13 11:22,"Quality:good
Appearance:good
Suitability:good

Fast delivery ty sa seller
Sana tumagal .ok ang brightness compared sa stock bulb. easy to install sa  vios 2023 wla pa 5 mins .thumbs up sa seller at s nag delivery. Pagipunan ko pa ung pra s high beam hb3."
harupahop,5,2023-04-19 10:54,"Appearance:good
Quality:good
Suitability:good

Look sturdy.."
markyfurio,5,2022-12-09 15:29,"Suitability:verygood
Appearance:verygood
Quality:highquality

okie sya legit na original working lahat and malinaw talaga. sana tumagal"
j_12abufr0,5,2024-01-09 16:47,"Suitability:ok
Quality:good
Appearance:good

Legit seller"
escasa16,5,2023-01-10 01:14,kaganda ng novsight grabe ka liwanag ng ilaw na ito . super sulit ang bili mo dito d ka magsisisi kaibigan . easy to install pa
armandyferrer,5,2024-09-08 07:52,"Quality:maganda
Appearance:maayos

Maaga ang pagdating ng product, kaysa sa nasabing petsa.."
r31z_kzk0f,5,2024-08-05 03:29,"Suitability:good
Quality:nice

legit seller.
ang ganda po ng item.."
i*****s,5,2023-11-30 07:48,"Quality:superb
Suitability:fit sa ecosport 2015
Appearance:durable

Good dahil may freebie pa si seller"
mtjsniper,5,2023-02-27 04:31,"Appearance:ok
Quality:ok
Suitability:ok

recvd ok. akala ko sira. but problema lng reverse yung pag assmble sa factory. gnawa nlmg ng mechanic biniliktad yung connection sa sasakyan. ayon umilaw na. so far ok nman sya. better than the original. thanks again. but kindly chek on the wiring reverse po sya."
p*****5,5,2022-09-04 11:24,"Appearance:good
Quality:good
Suitability:good

fast delivery. maliwanag sya. perfect sa gabi lalo na pag dark ang tint. sana lang tumagal."
spice2019,5,2022-12-06 21:23,"Appearance:Very good
Quality:Very good
Suitability:Very good"
jacijaz,5,2024-03-11 07:29,"Suitability:10/10
Quality:10/10
Appearance:10/10 all is good thanks seller! God bless"
r*****1,5,2023-12-21 08:05,"Appearance:good
Suitability:perfect for my DA17V
Quality:good"
ryanhsaro,5,2024-05-13 14:20,"Suitability:10/10
Quality:10/10
Appearance:10/10

Thank you po sa uulitin,"
jimsonseli,5,2023-01-24 06:32,"Appearance:excellent
Quality:durable
Suitability:nice fit for my car.

Arrived sealed and complete. No problem encountered upon delivery. Thank you very much."
a_i_03,5,2024-10-23 04:05,"Quality:10/10
Suitability:10/10
Appearance:10/10

Not yet tried. but looks legit."
kenjie28,5,2023-11-14 12:14,"Appearance:100%
Suitability:100%
Quality:100%

Product is of good quality👌."
lesterenriquez,5,2022-10-21 11:53,"Suitability:it fits well on my Ford Everest Titanium! Thank you.
Appearance:awesome!"
ronjove,5,2023-01-19 22:51,"Appearance:good
Quality:excellent
Suitability:good

Thank you seller and the courier....."
armandyferrer,4,2024-09-08 07:48,"Quality:maganda
Appearance:maganda

Maganda yun product pati pagkaka-balot, walang sira, pati yun box, walang yupi ibig sabihin, maayos at maganda ang paghandling nila."
r*****o,5,2022-11-05 12:23,"Appearance:nice
Quality:hope will last long
Suitability:good

Good product hopefully it will last longer 😀"
waistv982,5,2022-11-02 23:16,"Appearance:perfect
Quality:verygood
Suitability:na

Already install it hopefully last long w/o issue.thank you seller"
ronneldapat,5,2023-10-24 12:32,"Suitability:100%
Quality:Very good
Appearance:Very good

Nothing to say! Watch the video."
delight_mom,5,2022-10-13 08:53,"Appearance:excellent
Quality:ganda
Suitability:great

Dko pa nakabit pero ok naman to cgurado..kc nakasealed ang  box ng dumating..salamat po seller😊😊"
b*****r,5,2024-02-20 23:31,"Quality:⭐️⭐️⭐️⭐️⭐️
Suitability:⭐️⭐️⭐️⭐️⭐️
Appearance:⭐️⭐️⭐️⭐️⭐️

Napakagandang item. Super liwanag. Okay pang upgrade sa stock."
sannyme1978,5,2023-07-30 14:01,"Quality:very Good
Suitability:great
Appearance:nice

di lang nagustuhan na e kabit ko na last night at ginawa ko ito diy napaganda napaka liwanag legit talaga at mura na kaysa mga local na benta dito sa cebu gandang item"
dndmoto7,4,2023-04-11 04:07,Thank you I have received my order . All are in good condition . 😊👍🙏
gtoby74,5,2024-02-03 19:46,"Quality:good
Suitability:good
Appearance:good

Sana tumagal"
pitou28,5,2022-06-12 05:35,"Appearance:goods
Quality:goods
Suitability:goods

thank you happy buyer here will order again soon waiting for the fog light thanks again. well packed! keep safe po salamt kuya rider"
marcuzraine070985,5,2022-11-21 03:16,"Appearance:good
Quality:good
Suitability:flickering on my avanza 2009"
jergelgozun,5,2024-02-14 16:38,"Appearance:good
Suitability:good
Quality:good

ok sya.. nilagay ko sa motor.. pero sana next time bigyan ng choices kung 1pc or 2pcs bibilhin.. kc ung iba gaya ko sa motor ilalagay"
mhinniearguelles,5,2023-08-08 11:11,"Appearance:Good
Quality:Good
Suitability:Good

Thanks seller the items is good and working no damages and thanks din kay kuya rider...😍"
p*****i,5,2023-11-11 06:25,Maliwag cya at hindi sabog. Kita ang daan ng hindi nasisilawan ang kasalubong. Bilis din yung delivery. Salamat seller at kay mabait na driver
joshmorales0106,5,2023-08-02 04:33,"All goods nmn ung item hnd pa na try sa gb.e..thank you seller🙏
Nv350 2023👌"
c*****a,5,2022-10-27 14:49,"Appearance:mute week of DJ or eh n it DJ if gusto ng go
Quality:yan ng eto ok na rin fan he do it bc SK IGN n
Suitability:to go DJ be 30 of eto ok na we pa eh j of DJ it DJ if FEU ng"
i*****3,5,2023-03-12 06:11,"Appearance:Excellent
Quality:Excellent
Suitability:Excellent

pagka dating kabit agad ang ganda legit malakas ilaw nya, napaka solid"
jerumjabbs,5,2023-05-19 10:17,"Appearance:10
Quality:10
Suitability:10

Hb4 led headlight 9006 fit to 2013 Toyota vios plug and play easy to install quality and affordable price ."
alejandrouy,5,2023-07-13 04:55,Kaka recieve ko lang now mabilis maipadala baka bukas ko pa maikabit Hopefully okie sya at walang maging problema at tumagal din po sana Thanks God bless
iamerick007,5,2023-12-24 04:03,"Appearance:Looks good
Quality:seems nice

Shoutout to Sir EemzYT for sharing this.link. Feed back again once nakabit"
rjaijem,4,2023-09-07 13:29,"Quality:very good
Appearance:very good
Suitability:very good"
m*****8,5,2023-08-19 09:59,"Suitability:👍
Appearance:Good. There's no damage or whatever.
Quality:Haven't tried it yet but I think it would be good."
p*****5,5,2024-08-29 12:10,"Appearance:As shown on video..
Quality:very bright

Added it today, was hesitant at first since the other light didn't turn on, unplug it then plug it back, good thing both is working fine and very bright. Thanks Shopee and seller. Do hope it'll last long like other expensive brands."
drin12pogs,5,2023-10-01 00:13,"Suitability:Verygood
Appearance:Good
Quality:Good

Okay ang pagkakabalot ng item mabilis din dumating at Good Quality ang item 😁"
,5,2022-05-21 11:03,"The quality is good, the packaging guarantees the safety of the product, the delivery is fast, thank you for your good service"
e*****z,5,2023-11-28 08:46,"Suitability:good
Quality:super good
Appearance:excellent

Ganda legit na legit salamat seller subukan ko sana tumagal ng ilang yrs mabilis din dumating 2days"
dadsmaceda,5,2024-05-15 09:47,"Quality:Great quality
Appearance:Looks well-designed
Suitability:Plug and play

I'll definitely order again. Well done, seller!"
jhayallbeedo,5,2023-01-08 13:15,"Appearance:10/10
Quality:10/10
Suitability:10/10

Highly recommended....ang ganda ng product...."
tolls37,5,2023-10-02 11:23,"Suitability:good
Appearance:good
Quality:good

Working,good product and legit.thank.ypu seller at shopee."
1*****7,5,2024-09-15 11:20,"Appearance:good
Quality:good
Suitability:good

Legit store 2nd order recommended"
geromevasallo,5,2024-05-05 13:05,"Suitability:good
Quality:good
Appearance:good

Maayos ang pagkaka balot"
efrodibnabdulwahab,5,2024-05-25 08:02,"Appearance:Good packaging
Quality:Good
Suitability:fits perfect for Honda Civic FD"
silvino26,5,2023-12-13 13:24,"Suitability:good
Quality:good
Appearance:good

Maganda ang product, maayos lumakas na ang headlight ko, tnx seller and riders too"
weng26mendoza,5,2023-11-11 14:16,"Ok nman sya, maliwanag at easy to install din. Salamat po seller at kay rider na rin sa pagdeliver ng maaga."
jonathanbinaohan,5,2023-04-17 13:50,"Appearance:10
Suitability:10
Quality:9

Excellent."
welsonaldeguer,5,2023-03-15 03:54,"Appearance:good
Quality:good
Suitability:good

Received the items in good condition.."
r*****o,5,2024-02-24 04:48,"Appearance:very good
Suitability:need to test
Quality:need to test

received product faster. sealed and packed. need to test"
j*****r,5,2022-06-27 16:13,"Appearance:In pristine condition
Quality:Excellent quality

Fast delivery, item securely packed. Walang damage or scratches. Thanks seller!"
chamberlainbrigz,5,2022-12-09 00:55,"Appearance:100% original
Quality:lig.on kaaung inatay

palit namo namo kay perti jung gwapoha sa suga. hayag pas imo kaugmaon."
a*****y,5,2022-12-26 07:08,"Madali lang ikabit at sobrang linaw talaga, nakalow light sobrang liwanag pa rin. Masisilaw ang kasalubong. Maraming salamat!"
iann12345678,5,2024-02-27 02:59,"Quality:10/10
Suitability:good
Appearance:10/10

Thank u seller item is 👍"
guydoromal150,5,2024-10-21 11:28,"Quality:very good
Suitability:perfect
Appearance:elegant

Fits my 3rd gen vios"
duncan0429,5,2023-09-13 01:56,"Suitability:Good
Quality:Good
Appearance:Good

Suited sa Mitsubishi Adventure."
rizatorres446,5,2023-04-28 13:50,"Quality:Good
Suitability:Saktong sakto
Appearance:Good at safe naman nakarating"
ulyssesdelima,5,2023-04-25 10:53,"Quality:goodd
Appearance:good
Suitability:good

Legit.....works well....mwahhh"
h*****o,4,2024-06-21 14:43,"Suitability:Nice
Quality:Nice
Appearance:Nice

Update. Mag blink2x na pag uminit na cya. Mahirap komuha nang warranty nila hindi parin napalitan.. Mahirap ma contact yung seller."
mervin_m,4,2024-10-14 01:05,"Appearance:good
Suitability:good
Quality:fair

Suitable to my unit. Just an average brightness. Typical substitute to average halogen light if you want to upgrade on LED headlight. Still recommend to purchase higher lumens if you want more brightness. By the way, high beam is not as vivid as what you expect. You cannot appreciate the brightness of high beam for an average price of this product."
s*****t,5,2023-04-21 03:20,"Appearance:Nice
Quality:Excellent
Suitability:Compatible

TOYOTA WIGO 2016 👍 H4
Very accomodating seller just approach them if you have queries.."
d*****a,5,2024-02-22 12:59,"Suitability:good
Appearance:good
Quality:good

Maganda siya sanabtumagal ang ilaw di masira agad pag ojay siya will buy again thanks seller and riders again"
